,LUCA,Aves,Passeriformes,Tyrannidae,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3845,1.0,1.0,1.0,0.0,245353,14518.9925781,3757.5,15.0678240436,8.09537037103,1.12615740503,12.9119234151,103.847222222,17285.9722222,0.569907406138,3.91620369642,-98.631563416,19.066389801,3.0,Tropical and Subtropical Coniferous Forests,6934,BOSQUE DE PINO,9930.0,Bosque de Pino,POINT (-98.63156341600001 19.066389801)
3846,1.0,1.0,1.0,1.0,246823,1259.14834473,1254.33333333,30.406944425,22.8793981252,15.3493055701,608.739859687,70.5069444444,18184.4583333,1.63025462765,1.55370369498,-98.974563416,18.772389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,62990,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,10463.0,Agricultura de Riego,POINT (-98.974563416 18.772389801)
3847,1.0,0.0,0.0,0.0,254336,889.705620117,2319.77777778,21.5356481605,15.2752314916,9.0162037026,11.7134376102,48.2916666667,16834.7893519,1.08731480826,2.50370373218,-97.161563416,17.498389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,94316,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE ENCINO,11382.0,Chaparral,POINT (-97.16156341600001 17.498389801)
3848,1.0,0.0,0.0,0.0,238450,4839.37411133,1549.66666667,24.7074999915,17.7422222031,10.772500013,44.5693799973,146.052777778,17990.2361111,1.51108333005,1.65333333645,-98.337563416,20.438389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,72448,AGRICULTURA DE TEMPORAL ANUAL,8812.0,Bosque Mesofilo de Montana,POINT (-98.33756341599999 20.438389801)
3849,1.0,1.0,1.0,0.0,240189,1158.29668945,2195.88888889,21.3313889556,14.4486110502,7.56611112754,157.212444814,67.6472222222,17821.4333333,1.15974999203,1.96499997311,-98.141563416,20.095389801,3.0,Tropical and Subtropical Coniferous Forests,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.141563416 20.095389801)
3850,1.0,1.0,1.0,1.0,246364,1045.15960938,1337.88888889,26.3280000051,19.3373333422,12.3466666698,3144.11091675,111.943333333,15969.0666667,1.61363332987,1.62700000048,-97.112563416,18.870389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,118810,ZONA URBANA,10313.0,Bosque Mesofilo de Montana,POINT (-97.112563416 18.870389801)
3851,0.0,0.0,0.0,0.0,244648,5931.89677734,2449.55555556,17.0476851507,11.4393518677,5.83148146504,148.619675212,73.7407407407,16564.1759259,1.07715277512,2.0002314567,-97.161563416,19.213389801,3.0,Tropical and Subtropical Coniferous Forests,70410,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-97.16156341600001 19.213389801)
3852,1.0,1.0,1.0,1.0,244852,4950.88464844,3295.77777778,19.0745370565,11.3136573986,3.55231481135,99.1123551263,100.168981481,17691.2523148,0.719861112259,3.18495369454,-99.219563416,19.164389801,3.0,Tropical and Subtropical Coniferous Forests,90094,VEGETACIÓN SECUNDARIA ARBUSTIVA DE BOSQUE DE PINO,10157.0,Bosque de Pino,POINT (-99.219563416 19.164389801)
3853,1.0,0.0,0.0,0.0,249124,1676.50747559,27.8888888889,31.1523150073,25.8331018951,20.5124999506,60.3997793198,125.217592593,15960.6574074,2.50553234253,2.40671295148,-96.181563416,18.380389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,39824,PASTIZAL CULTIVADO,8684.0,Agricultura de Temporal,POINT (-96.181563416 18.380389801)
3854,1.0,0.0,0.0,0.0,251841,5021.52932617,928.333333333,29.2032406992,22.6173610996,16.0377314841,23.258964671,300.555555556,15833.8125,1.85317129145,2.01203702832,-96.524563416,17.939389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,64686,SELVA ALTA PERENNIFOLIA,10560.0,Selva Alta Perennifolia,POINT (-96.52456341600001 17.939389801)
